Sales Rep. Y3$Ch.$Mchd.$aktivní návštěva a/n$Customer No.$$City (M)$StrHousNo. (M)$kontaktní osoba jméno$kontaktní osoba tel.$kontaktní osoba e-mail$letáky a/n$GPS
53590707$MP$Bosch Zdařil Jakub$$53500854$BAUHAUS k.s.$BRNO$STRÁŽNÍ 7$$$$$"49°10'34.49""N,16°36'6.51""E"
53590707$MP$Bosch Zdařil Jakub$$53508012$BAUHAUS k.s.$BRNO - IVANOVICE$ŘEČKOVICKÁ UL.$$$$$"49°15'42.660""N, 16°34'23.852""E"
53591096$MP$Bosch Stehlík Tomáš$$53508663$BAUHAUS k.s.$PLZEŇ$STAVEBNÍ 2157/1$$$$$"49°43'47.042""N, 13°20'56.731""E"
53591096$MP$Bosch Stehlík Tomáš$$53533016$BAUHAUS k.s.$PRAHA 4 - PANKRÁC$BUDĚJOVICKÁ 5$$$$$"50°2'59.5""N,14°26'34.82""E"
53591096$MP$Bosch Stehlík Tomáš$$53533028$BAUHAUS k.s.$PRAHA-DOLNÍ CHABRY$ÚSTECKÁ UL.$$$$$"50°8'33.44""N,14°27'4.1""E"
53591096$MP$Bosch Stehlík Tomáš$$53533073$BAUHAUS k.s.$ŘÍČANY U PRAHY$U MAKRA 130$$$$$"50°0'24.077""N, 14°34'37.981""E"
53591096$MP$Bosch Stehlík Tomáš$$53533259$BAUHAUS k.s.$LIBEREC$NÁKUPNÍ ZÓNA SEVER$$$$$"50°46'37.225""N, 15°1'31.091""E"
53590205$MP$Bosch Sladký Jan$$53533284$BAUHAUS k.s.$ČESKÉ BUDĚJOVICE$ČESKÉ  VRBNÉ 2380$$$$$"49°0'4.598""N, 14°27'2.354""E"
53591096$MP$Bosch Stehlík Tomáš$$53509197$Electro World s.r.o.$PRAHA 9$CHLUMECKÁ 1531$$$$$"50° 6' 34.4904171"" N, 14° 34' 23.7444019"" E "
53591096$MP$Bosch Stehlík Tomáš$$53509198$Electro World s.r.o.$PRAHA 5 - ZLIČÍN$ŘEVNICKÁ 1/121$$$$$"50° 3' 11.7628995"" N, 14° 17' 14.091568"" E"
53591096$MP$Bosch Stehlík Tomáš$$53509199$Electro World s.r.o.$ČESTLICE$U MAKRA 123$$$$$"50° 0' 22.2752079"" N, 14° 34' 26.2356377"" E"
53590707$MP$Bosch Zdařil Jakub$$53509201$Electro World s.r.o.$BRNO$SKANDINÁVSKÁ 6$$$$$"49° 9' 13.9494768"" N, 16° 37' 39.9336147"" E"
53590707$MP$Bosch Zdařil Jakub$$53509202$Electro World s.r.o.$OSTRAVA$RUDNÁ 122/3118$$$$$"49° 48' 5.7830717"" N, 18° 13' 36.522789"" E"
53590205$MP$Bosch Sladký Jan$$53509203$Electro World s.r.o.$HRADEC KRÁLOVÉ$RAŠÍNOVA 1669$$$$$"50° 11' 24.8380234"" N, 15° 48' 15.2279091"" E"
53590707$MP$Bosch Zdařil Jakub$$53509204$Electro World s.r.o.$OLOMOUC$KAFKOVA 466/5$$$$$"49° 34' 23.0929895"" N, 17° 13' 31.2411976"" E"
53591096$MP$Bosch Stehlík Tomáš$$53509205$Electro World s.r.o.$PLZEŇ$NÁKUPNÍ 1459/5$$$$$"49° 44' 42.5165566"" N, 13° 26' 19.7979355"" E"
53591096$MP$Bosch Stehlík Tomáš$$53509206$Electro World s.r.o.$KARLOVY VARY - DVORY$CHEBSKÁ 381/19C$$$$$"50° 13' 31.7845051"" N, 12° 49' 24.1817093"" E"
53591096$MP$Bosch Stehlík Tomáš$$53509207$Electro World s.r.o.$ÚSTÍ NAD LABEM - VŠEBOŘICE$HAVÍŘSKÁ 354/15$$$$$"50° 41' 17.5193694"" N, 13° 59' 7.4106789"" E"
53591096$MP$Bosch Stehlík Tomáš$$53509208$Electro World s.r.o.$PLZEŇ - ČERNICE$PÍSECKÁ 972/1$$$$$"49° 42' 1.4865084"" N, 13° 25' 33.796978"" E"
